feeder_id,month,injected_energy_kwh,feeder_uptime_pct,avg_temp_c
F-01,2022-01-01,100687.34,89.92,5.9
F-01,2022-02-01,118524.79000000001,92.38,11.4
F-01,2022-03-01,141620.79,90.77,17.8
F-01,2022-04-01,167552.29,88.43,25.4
F-01,2022-05-01,183964.04,91.04,30.5
F-01,2022-06-01,192445.51,91.71,32.1
F-01,2022-07-01,184214.78,90.38,29.6
F-01,2022-08-01,169034.49,89.6,25.3
F-01,2022-09-01,140030.92,90.82,18.2
F-01,2022-10-01,117212.0,91.27,11.2
F-01,2022-11-01,101782.22,90.17,6.1
F-01,2022-12-01,92838.52,90.39,4.5
F-01,2023-01-01,103124.9,90.56,6.1
F-01,2023-02-01,121423.43,90.07,11.0
F-01,2023-03-01,144484.97,91.11,17.4
F-01,2023-04-01,168276.76,90.41,25.3
F-01,2023-05-01,179451.75,90.75,30.1
F-01,2023-06-01,185958.50999999998,92.84,32.0
F-01,2023-07-01,182637.36,88.83,30.4
F-01,2023-08-01,165414.47999999998,91.19,25.7
F-01,2023-09-01,141957.59,90.91,17.4
F-01,2023-10-01,116738.04000000001,91.59,10.8
F-01,2023-11-01,101399.78,91.52,5.5
F-01,2023-12-01,96751.9,91.04,4.4
F-01,2024-01-01,100010.33,91.6,5.9
F-01,2024-02-01,120465.40999999999,89.14,10.6
F-01,2024-03-01,142189.79,91.45,19.2
F-01,2024-04-01,170516.89,90.34,24.9
F-01,2024-05-01,182097.65,89.94,29.5
F-01,2024-06-01,186468.96,91.37,32.4
F-01,2024-07-01,185658.46,90.21,30.6
F-01,2024-08-01,168781.78,91.87,25.6
F-01,2024-09-01,140698.41,89.57,17.7
F-01,2024-10-01,117292.98999999999,90.19,11.2
F-01,2024-11-01,98004.8,90.83,5.5
F-01,2024-12-01,91994.09,89.3,3.8
F-02,2022-01-01,120001.79,98.54,5.4
F-02,2022-02-01,139341.48,99.24,11.0
F-02,2022-03-01,167355.3,99.22,17.4
F-02,2022-04-01,189382.15,98.77,24.2
F-02,2022-05-01,212397.12,98.84,30.4
F-02,2022-06-01,220115.66,98.92,32.7
F-02,2022-07-01,216492.16,98.9,30.8
F-02,2022-08-01,188113.21,98.35,25.4
F-02,2022-09-01,160814.92,98.68,18.2
F-02,2022-10-01,136428.91999999998,98.3,11.7
F-02,2022-11-01,115165.56,98.45,5.8
F-02,2022-12-01,110136.03,97.92,3.7
F-02,2023-01-01,120543.41,98.44,6.4
F-02,2023-02-01,140013.02,98.14,10.9
F-02,2023-03-01,167824.04,98.81,17.8
F-02,2023-04-01,191299.47,99.12,25.5
F-02,2023-05-01,213918.99,98.03,30.3
F-02,2023-06-01,215939.27,98.69,31.7
F-02,2023-07-01,209682.9,99.28,31.0
F-02,2023-08-01,186235.95,99.38,24.8
F-02,2023-09-01,157842.85,99.17,18.4
F-02,2023-10-01,133909.31,98.9,11.0
F-02,2023-11-01,114873.48,98.64,5.6
F-02,2023-12-01,108274.67,98.81,3.9
F-02,2024-01-01,119813.38,97.93,5.8
F-02,2024-02-01,136764.84,99.6,10.6
F-02,2024-03-01,165182.88,97.89,17.9
F-02,2024-04-01,191347.54,98.8,25.5
F-02,2024-05-01,210366.52000000002,98.6,30.3
F-02,2024-06-01,215638.38,98.14,32.2
F-02,2024-07-01,210311.76,99.49,30.1
