pmt_id,feeder_id,month,injected_energy_kwh,pmt_uptime_pct,avg_temp_c
PMT-0001,F-01,2022-01-01,16893.27,90.04,4.8
PMT-0001,F-01,2022-02-01,20004.06,94.53,11.9
PMT-0001,F-01,2022-03-01,24118.38,85.26,19.6
PMT-0001,F-01,2022-04-01,29236.69,90.36,24.8
PMT-0001,F-01,2022-05-01,31982.88,93.05,30.4
PMT-0001,F-01,2022-06-01,33578.79,89.66,30.7
PMT-0001,F-01,2022-07-01,32206.59,92.01,30.3
PMT-0001,F-01,2022-08-01,28467.5,88.4,25.7
PMT-0001,F-01,2022-09-01,23508.1,89.63,18.2
PMT-0001,F-01,2022-10-01,19370.73,90.89,11.7
PMT-0001,F-01,2022-11-01,16744.79,90.83,4.0
PMT-0001,F-01,2022-12-01,15861.73,86.54,5.1
PMT-0001,F-01,2023-01-01,17764.28,93.09,5.2
PMT-0001,F-01,2023-02-01,19316.62,93.23,10.2
PMT-0001,F-01,2023-03-01,24805.81,94.42,15.4
PMT-0001,F-01,2023-04-01,29004.44,89.51,27.8
PMT-0001,F-01,2023-05-01,30662.87,91.57,31.7
PMT-0001,F-01,2023-06-01,32777.17,96.37,29.9
PMT-0001,F-01,2023-07-01,31555.14,86.75,32.4
PMT-0001,F-01,2023-08-01,26873.61,91.71,27.0
PMT-0001,F-01,2023-09-01,24416.35,91.0,17.0
PMT-0001,F-01,2023-10-01,19962.33,87.73,10.8
PMT-0001,F-01,2023-11-01,16380.08,98.96,5.5
PMT-0001,F-01,2023-12-01,16466.75,91.23,4.2
PMT-0001,F-01,2024-01-01,16905.22,93.46,6.5
PMT-0001,F-01,2024-02-01,20711.92,90.14,11.8
PMT-0001,F-01,2024-03-01,24522.98,94.26,19.5
PMT-0001,F-01,2024-04-01,28766.77,88.23,23.7
PMT-0001,F-01,2024-05-01,30548.57,89.34,31.2
PMT-0001,F-01,2024-06-01,32288.77,94.38,33.9
PMT-0001,F-01,2024-07-01,31708.04,86.11,32.2
PMT-0001,F-01,2024-08-01,28899.56,97.63,25.2
PMT-0001,F-01,2024-09-01,23487.02,86.78,17.0
PMT-0001,F-01,2024-10-01,20349.85,94.45,10.2
PMT-0001,F-01,2024-11-01,16424.04,86.77,5.9
PMT-0001,F-01,2024-12-01,15787.17,92.42,4.6
PMT-0002,F-01,2022-01-01,18261.64,94.71,5.8
PMT-0002,F-01,2022-02-01,20912.04,92.64,10.3
PMT-0002,F-01,2022-03-01,25852.91,97.2,17.4
PMT-0002,F-01,2022-04-01,30254.63,90.25,26.1
PMT-0002,F-01,2022-05-01,34258.28,88.04,31.2
PMT-0002,F-01,2022-06-01,37319.56,92.28,31.8
PMT-0002,F-01,2022-07-01,33696.31,90.94,29.9
PMT-0002,F-01,2022-08-01,32862.87,87.07,24.9
PMT-0002,F-01,2022-09-01,25890.22,94.51,19.1
PMT-0002,F-01,2022-10-01,21770.2,93.8,13.7
PMT-0002,F-01,2022-11-01,17880.97,90.25,5.2
PMT-0002,F-01,2022-12-01,17309.07,90.27,4.3
PMT-0002,F-01,2023-01-01,18745.44,88.2,7.1
PMT-0002,F-01,2023-02-01,22798.57,89.86,13.0
PMT-0002,F-01,2023-03-01,26667.73,87.73,16.9
PMT-0002,F-01,2023-04-01,31752.01,89.06,24.5
PMT-0002,F-01,2023-05-01,31106.98,89.64,30.1
PMT-0002,F-01,2023-06-01,33932.57,92.83,31.7
PMT-0002,F-01,2023-07-01,32823.31,93.06,30.6
PMT-0002,F-01,2023-08-01,29985.03,86.66,26.6
PMT-0002,F-01,2023-09-01,25125.13,89.14,18.3
PMT-0002,F-01,2023-10-01,20649.88,97.67,11.5
PMT-0002,F-01,2023-11-01,18694.44,92.99,6.1
PMT-0002,F-01,2023-12-01,17633.45,91.01,7.0
PMT-0002,F-01,2024-01-01,18222.1,90.2,7.4
PMT-0002,F-01,2024-02-01,23217.92,88.36,9.9
PMT-0002,F-01,2024-03-01,25864.51,90.31,18.8
PMT-0002,F-01,2024-04-01,31471.79,90.28,25.8
PMT-0002,F-01,2024-05-01,34139.3,95.07,29.8
PMT-0002,F-01,2024-06-01,37104.96,88.12,31.3
PMT-0002,F-01,2024-07-01,34588.44,91.08,30.2
PMT-0002,F-01,2024-08-01,31594.42,91.51,24.2
PMT-0002,F-01,2024-09-01,27052.3,90.76,18.1
PMT-0002,F-01,2024-10-01,21990.07,88.23,11.9
PMT-0002,F-01,2024-11-01,18377.8,92.43,2.9
PMT-0002,F-01,2024-12-01,16613.42,88.33,3.0
PMT-0003,F-01,2022-01-01,7707.36,90.98,6.2
PMT-0003,F-01,2022-02-01,8692.36,93.99,11.8
PMT-0003,F-01,2022-03-01,10510.41,88.34,17.0
PMT-0003,F-01,2022-04-01,12579.14,87.42,25.2
PMT-0003,F-01,2022-05-01,14068.5,89.54,29.7
PMT-0003,F-01,2022-06-01,14472.32,92.37,31.3
PMT-0003,F-01,2022-07-01,13709.52,95.22,28.2
PMT-0003,F-01,2022-08-01,12350.72,91.06,25.9
PMT-0003,F-01,2022-09-01,10708.74,94.89,17.9
PMT-0003,F-01,2022-10-01,9257.67,92.92,11.5
PMT-0003,F-01,2022-11-01,7694.96,90.9,6.0
PMT-0003,F-01,2022-12-01,6960.07,91.06,4.8
PMT-0003,F-01,2023-01-01,8288.07,87.32,6.2
PMT-0003,F-01,2023-02-01,8783.39,90.52,10.4
PMT-0003,F-01,2023-03-01,10982.98,88.68,19.0
PMT-0003,F-01,2023-04-01,11763.8,90.0,25.1
PMT-0003,F-01,2023-05-01,13774.74,92.78,29.6
PMT-0003,F-01,2023-06-01,13157.06,91.66,29.5
PMT-0003,F-01,2023-07-01,13577.44,91.76,28.1
PMT-0003,F-01,2023-08-01,12250.89,87.89,26.8
PMT-0003,F-01,2023-09-01,9853.86,94.85,17.0
PMT-0003,F-01,2023-10-01,8540.67,94.13,12.4
PMT-0003,F-01,2023-11-01,7747.75,85.07,3.4
PMT-0003,F-01,2023-12-01,7204.26,91.29,3.3
PMT-0003,F-01,2024-01-01,7511.61,93.34,7.4
PMT-0003,F-01,2024-02-01,8870.38,87.62,9.4
PMT-0003,F-01,2024-03-01,10760.58,97.71,19.0
PMT-0003,F-01,2024-04-01,13124.58,96.0,25.5
PMT-0003,F-01,2024-05-01,13314.07,92.45,28.3
PMT-0003,F-01,2024-06-01,13627.75,89.53,33.5
PMT-0003,F-01,2024-07-01,13222.58,87.26,30.9
PMT-0003,F-01,2024-08-01,11263.85,94.54,27.5
PMT-0003,F-01,2024-09-01,10579.9,88.29,17.6
PMT-0003,F-01,2024-10-01,8207.39,89.45,10.8
PMT-0003,F-01,2024-11-01,7670.18,93.88,6.0
PMT-0003,F-01,2024-12-01,6668.84,87.03,4.1
PMT-0004,F-01,2022-01-01,6369.71,89.06,4.6
PMT-0004,F-01,2022-02-01,7150.38,96.41,11.2
PMT-0004,F-01,2022-03-01,8594.07,90.52,17.6
PMT-0004,F-01,2022-04-01,9846.87,85.03,23.7
PMT-0004,F-01,2022-05-01,10793.44,90.23,29.8
PMT-0004,F-01,2022-06-01,11820.18,92.2,33.8
PMT-0004,F-01,2022-07-01,10752.65,91.99,29.6
PMT-0004,F-01,2022-08-01,10516.31,87.91,27.8
PMT-0004,F-01,2022-09-01,8382.66,86.09,17.8
PMT-0004,F-01,2022-10-01,7200.02,87.04,11.3
PMT-0004,F-01,2022-11-01,6216.17,92.77,5.9
PMT-0004,F-01,2022-12-01,5582.74,92.82,2.9
PMT-0004,F-01,2023-01-01,6268.09,92.71,5.3
PMT-0004,F-01,2023-02-01,7146.31,91.91,11.7
PMT-0004,F-01,2023-03-01,8275.82,96.38,17.1
PMT-0004,F-01,2023-04-01,9764.09,91.79,26.3
PMT-0004,F-01,2023-05-01,11192.91,96.07,30.1
PMT-0004,F-01,2023-06-01,11074.96,96.42,32.4
PMT-0004,F-01,2023-07-01,10565.94,91.01,29.6
PMT-0004,F-01,2023-08-01,9853.35,93.49,26.6
PMT-0004,F-01,2023-09-01,8259.24,91.21,16.4
PMT-0004,F-01,2023-10-01,6919.31,88.36,10.1
PMT-0004,F-01,2023-11-01,6021.91,93.25,5.7
PMT-0004,F-01,2023-12-01,5309.57,87.46,4.3
PMT-0004,F-01,2024-01-01,5585.0,92.45,5.2
PMT-0004,F-01,2024-02-01,6586.69,91.87,9.8
PMT-0004,F-01,2024-03-01,8818.26,87.26,19.3
PMT-0004,F-01,2024-04-01,9787.54,87.98,23.9
PMT-0004,F-01,2024-05-01,10328.96,91.95,30.4
PMT-0004,F-01,2024-06-01,10892.35,95.66,32.6
PMT-0004,F-01,2024-07-01,10924.17,95.66,29.2
PMT-0004,F-01,2024-08-01,9841.06,93.25,25.0
PMT-0004,F-01,2024-09-01,8543.38,90.85,15.9
PMT-0004,F-01,2024-10-01,7002.94,89.1,11.0
PMT-0004,F-01,2024-11-01,6049.27,93.04,5.9
PMT-0004,F-01,2024-12-01,5518.07,92.35,4.2
PMT-0005,F-01,2022-01-01,7780.11,87.17,6.4
PMT-0005,F-01,2022-02-01,8891.35,90.01,12.7
PMT-0005,F-01,2022-03-01,11378.18,92.03,17.7
PMT-0005,F-01,2022-04-01,12985.19,89.83,25.6
PMT-0005,F-01,2022-05-01,13424.85,93.2,29.1
PMT-0005,F-01,2022-06-01,14490.67,90.42,32.0
PMT-0005,F-01,2022-07-01,13833.04,84.29,31.1
PMT-0005,F-01,2022-08-01,13367.8,87.11,24.8
PMT-0005,F-01,2022-09-01,10791.34,89.57,19.2
PMT-0005,F-01,2022-10-01,9122.77,93.67,10.9
PMT-0005,F-01,2022-11-01,7952.38,92.57,7.5
PMT-0005,F-01,2022-12-01,7447.44,91.53,6.0
PMT-0005,F-01,2023-01-01,8141.46,82.6,7.2
PMT-0005,F-01,2023-02-01,9718.89,89.58,10.1
PMT-0005,F-01,2023-03-01,10863.9,84.64,16.5
PMT-0005,F-01,2023-04-01,13545.7,87.58,25.7
PMT-0005,F-01,2023-05-01,14539.43,90.08,31.0
PMT-0005,F-01,2023-06-01,14408.96,88.63,31.6
PMT-0005,F-01,2023-07-01,14079.05,87.79,30.7
PMT-0005,F-01,2023-08-01,12867.3,90.14,25.8
PMT-0005,F-01,2023-09-01,10546.89,94.95,17.4
PMT-0005,F-01,2023-10-01,8926.91,96.1,10.9
PMT-0005,F-01,2023-11-01,8165.49,88.95,4.5
PMT-0005,F-01,2023-12-01,7579.89,91.0,5.5
PMT-0005,F-01,2024-01-01,7964.92,88.83,6.5
PMT-0005,F-01,2024-02-01,8790.71,87.65,10.0
PMT-0005,F-01,2024-03-01,11104.22,90.46,20.1
PMT-0005,F-01,2024-04-01,12821.97,89.9,24.2
PMT-0005,F-01,2024-05-01,14345.62,87.3,30.0
PMT-0005,F-01,2024-06-01,13969.63,90.98,32.3
PMT-0005,F-01,2024-07-01,14705.05,91.43,30.2
PMT-0005,F-01,2024-08-01,12844.9,85.73,27.3
PMT-0005,F-01,2024-09-01,9854.05,90.75,19.4
PMT-0005,F-01,2024-10-01,9244.48,88.2,14.4
PMT-0005,F-01,2024-11-01,7812.35,86.79,6.4
PMT-0005,F-01,2024-12-01,7335.52,93.36,5.0
PMT-0006,F-01,2022-01-01,13720.47,87.16,6.4
PMT-0006,F-01,2022-02-01,16243.95,91.68,10.5
PMT-0006,F-01,2022-03-01,19181.99,93.29,17.5
PMT-0006,F-01,2022-04-01,23178.52,92.82,26.4
PMT-0006,F-01,2022-05-01,24746.46,94.51,32.0
PMT-0006,F-01,2022-06-01,25128.22,89.41,31.7
PMT-0006,F-01,2022-07-01,24499.61,92.75,30.3
PMT-0006,F-01,2022-08-01,22447.53,91.89,25.3
PMT-0006,F-01,2022-09-01,18490.06,95.99,17.4
PMT-0006,F-01,2022-10-01,16236.66,91.47,10.4
PMT-0006,F-01,2022-11-01,13574.7,91.99,5.9
PMT-0006,F-01,2022-12-01,13033.92,93.32,4.9
PMT-0006,F-01,2023-01-01,13217.31,94.21,7.2
PMT-0006,F-01,2023-02-01,16053.58,89.54,9.8
PMT-0006,F-01,2023-03-01,19925.65,91.05,15.5
PMT-0006,F-01,2023-04-01,22984.22,89.59,23.0
PMT-0006,F-01,2023-05-01,25113.17,89.21,31.3
PMT-0006,F-01,2023-06-01,26230.97,95.8,30.9
PMT-0006,F-01,2023-07-01,25782.23,87.66,30.0
PMT-0006,F-01,2023-08-01,22456.66,86.84,23.8
PMT-0006,F-01,2023-09-01,19261.84,90.43,18.7
PMT-0006,F-01,2023-10-01,16034.45,92.56,7.8
PMT-0006,F-01,2023-11-01,13593.1,90.42,5.9
PMT-0006,F-01,2023-12-01,13091.88,95.33,3.4
PMT-0006,F-01,2024-01-01,13210.33,92.1,5.3
PMT-0006,F-01,2024-02-01,15792.59,87.91,12.0
PMT-0006,F-01,2024-03-01,19539.44,89.02,18.6
PMT-0006,F-01,2024-04-01,23688.49,93.6,25.8
PMT-0006,F-01,2024-05-01,25113.06,88.42,28.9
PMT-0006,F-01,2024-06-01,25097.3,90.6,32.7
PMT-0006,F-01,2024-07-01,24452.57,89.66,30.5
PMT-0006,F-01,2024-08-01,23035.88,92.97,26.4
PMT-0006,F-01,2024-09-01,19185.53,89.57,17.3
PMT-0006,F-01,2024-10-01,15749.77,89.88,10.3
PMT-0006,F-01,2024-11-01,13128.92,93.29,5.6
PMT-0006,F-01,2024-12-01,12344.2,89.51,0.7
PMT-0007,F-01,2022-01-01,8189.89,93.28,5.3
PMT-0007,F-01,2022-02-01,9762.97,89.24,11.0
PMT-0007,F-01,2022-03-01,12264.46,90.36,16.5
PMT-0007,F-01,2022-04-01,13391.84,89.19,23.5
PMT-0007,F-01,2022-05-01,14664.02,87.98,29.8
PMT-0007,F-01,2022-06-01,15468.5,93.86,33.4
PMT-0007,F-01,2022-07-01,14815.97,87.32,28.8
PMT-0007,F-01,2022-08-01,13345.08,92.52,25.2
PMT-0007,F-01,2022-09-01,11636.39,88.59,19.6
PMT-0007,F-01,2022-10-01,9540.1,89.17,10.4
PMT-0007,F-01,2022-11-01,8438.75,85.73,8.3
PMT-0007,F-01,2022-12-01,7935.78,93.31,3.5
PMT-0007,F-01,2023-01-01,8681.23,92.91,6.2
PMT-0007,F-01,2023-02-01,9962.83,88.9,10.7
PMT-0007,F-01,2023-03-01,11794.94,91.85,19.8
PMT-0007,F-01,2023-04-01,13363.66,94.74,26.1
PMT-0007,F-01,2023-05-01,14949.13,88.54,28.7
PMT-0007,F-01,2023-06-01,15457.9,92.8,33.9
PMT-0007,F-01,2023-07-01,15031.15,89.42,32.6
PMT-0007,F-01,2023-08-01,13683.16,97.78,24.8
PMT-0007,F-01,2023-09-01,11882.38,88.27,17.1
PMT-0007,F-01,2023-10-01,9889.1,88.25,11.6
PMT-0007,F-01,2023-11-01,8411.14,93.78,7.7
PMT-0007,F-01,2023-12-01,7992.71,91.9,3.4
PMT-0007,F-01,2024-01-01,8521.36,84.69,5.2
PMT-0007,F-01,2024-02-01,9945.06,90.61,11.0
PMT-0007,F-01,2024-03-01,12114.18,91.27,19.6
PMT-0007,F-01,2024-04-01,13748.77,88.94,24.8
PMT-0007,F-01,2024-05-01,14944.36,91.67,30.5
PMT-0007,F-01,2024-06-01,15564.64,92.3,32.1
PMT-0007,F-01,2024-07-01,14751.54,91.25,31.0
PMT-0007,F-01,2024-08-01,13776.64,88.28,25.8
PMT-0007,F-01,2024-09-01,11773.33,89.73,17.4
PMT-0007,F-01,2024-10-01,9616.8,86.48,11.0
PMT-0007,F-01,2024-11-01,8464.63,89.98,6.0
PMT-0007,F-01,2024-12-01,7850.19,88.47,3.7
PMT-0008,F-01,2022-01-01,8268.8,87.58,7.6
PMT-0008,F-01,2022-02-01,9672.63,94.26,12.2
PMT-0008,F-01,2022-03-01,11563.2,93.28,18.1
PMT-0008,F-01,2022-04-01,12812.04,83.13,24.6
PMT-0008,F-01,2022-05-01,14834.55,92.08,32.5
PMT-0008,F-01,2022-06-01,14878.51,99.14,30.9
PMT-0008,F-01,2022-07-01,14596.05,89.76,29.5
