consumer_id,pmt_id,feeder_id,sanctioned_load_kw,consumer_type,meter_type,is_registered_prosumer
C-000001,PMT-0027,F-03,3.43,residential,electronic,False
C-000002,PMT-0233,F-24,1.72,residential,electronic,False
C-000003,PMT-0197,F-20,3.11,residential,electronic,False
C-000004,PMT-0132,F-14,6.65,residential,analog,False
C-000005,PMT-0130,F-13,4.45,residential,analog,True
C-000006,PMT-0258,F-26,2.2,residential,analog,False
C-000007,PMT-0026,F-03,3.19,residential,analog,False
C-000008,PMT-0210,F-21,7.68,residential,electronic,False
C-000009,PMT-0061,F-07,4.02,residential,electronic,False
C-000010,PMT-0029,F-03,4.09,residential,analog,False
C-000011,PMT-0158,F-16,2.07,residential,analog,False
C-000012,PMT-0293,F-30,3.13,residential,analog,False
C-000013,PMT-0221,F-23,6.7,residential,electronic,False
C-000014,PMT-0229,F-23,6.5,residential,analog,False
C-000015,PMT-0216,F-22,4.05,residential,analog,False
C-000016,PMT-0236,F-24,7.26,residential,analog,False
C-000017,PMT-0154,F-16,3.66,residential,electronic,False
C-000018,PMT-0039,F-04,7.05,residential,analog,False
C-000019,PMT-0252,F-26,1.22,residential,analog,False
C-000020,PMT-0136,F-14,3.43,residential,electronic,False
C-000021,PMT-0151,F-16,22.1,commercial,electronic,False
C-000022,PMT-0112,F-12,23.03,commercial,analog,False
C-000023,PMT-0055,F-06,20.13,commercial,electronic,False
C-000024,PMT-0279,F-28,5.69,residential,analog,False
C-000025,PMT-0235,F-24,6.71,residential,electronic,True
C-000026,PMT-0194,F-20,5.95,residential,analog,False
C-000027,PMT-0121,F-13,2.78,residential,electronic,False
C-000028,PMT-0247,F-25,4.26,residential,electronic,False
C-000029,PMT-0164,F-17,5.62,residential,analog,False
C-000030,PMT-0134,F-14,5.11,residential,analog,False
C-000031,PMT-0136,F-14,7.2,residential,electronic,True
C-000032,PMT-0069,F-07,14.48,commercial,analog,False
C-000033,PMT-0028,F-03,2.25,residential,electronic,False
C-000034,PMT-0167,F-17,2.5,residential,analog,False
C-000035,PMT-0267,F-27,6.92,residential,analog,False
C-000036,PMT-0020,F-02,1.06,residential,electronic,False
C-000037,PMT-0258,F-26,22.38,commercial,analog,False
C-000038,PMT-0249,F-25,1.39,residential,electronic,False
C-000039,PMT-0084,F-09,12.83,commercial,analog,False
C-000040,PMT-0190,F-19,6.6,residential,analog,False
C-000041,PMT-0050,F-05,3.85,residential,analog,True
C-000042,PMT-0228,F-23,6.76,residential,analog,False
C-000043,PMT-0211,F-22,1.7,residential,electronic,False
C-000044,PMT-0107,F-11,4.58,residential,analog,True
C-000045,PMT-0021,F-03,5.08,residential,analog,False
C-000046,PMT-0292,F-30,91.27,industrial,electronic,False
C-000047,PMT-0134,F-14,1.66,residential,analog,False
C-000048,PMT-0268,F-27,11.77,commercial,analog,False
C-000049,PMT-0204,F-21,5.62,residential,electronic,False
C-000050,PMT-0234,F-24,98.39,industrial,electronic,False
C-000051,PMT-0228,F-23,6.94,residential,analog,False
C-000052,PMT-0059,F-06,6.93,residential,electronic,False
C-000053,PMT-0110,F-11,4.62,residential,analog,False
C-000054,PMT-0141,F-15,4.95,residential,analog,False
C-000055,PMT-0150,F-15,22.17,commercial,analog,True
C-000056,PMT-0014,F-02,7.09,residential,electronic,False
C-000057,PMT-0164,F-17,6.62,residential,analog,False
C-000058,PMT-0047,F-05,6.73,residential,electronic,False
C-000059,PMT-0224,F-23,7.16,residential,analog,False
C-000060,PMT-0205,F-21,1.8,residential,analog,False
C-000061,PMT-0277,F-28,3.05,residential,electronic,False
C-000062,PMT-0224,F-23,7.83,residential,electronic,False
C-000063,PMT-0110,F-11,4.81,residential,analog,False
C-000064,PMT-0291,F-30,2.24,residential,analog,False
C-000065,PMT-0124,F-13,15.06,commercial,electronic,False
C-000066,PMT-0098,F-10,5.52,residential,analog,False
C-000067,PMT-0272,F-28,6.8,residential,analog,False
C-000068,PMT-0112,F-12,6.69,residential,analog,False
C-000069,PMT-0023,F-03,1.34,residential,electronic,True
C-000070,PMT-0141,F-15,4.17,residential,analog,False
C-000071,PMT-0239,F-24,1.14,residential,analog,False
C-000072,PMT-0057,F-06,7.22,residential,analog,False
C-000073,PMT-0139,F-14,2.22,residential,analog,False
C-000074,PMT-0039,F-04,5.37,residential,analog,False
C-000075,PMT-0206,F-21,65.65,industrial,analog,False
C-000076,PMT-0143,F-15,5.38,residential,analog,False
C-000077,PMT-0100,F-10,4.94,residential,analog,False
C-000078,PMT-0069,F-07,6.01,residential,analog,False
C-000079,PMT-0170,F-17,5.38,residential,electronic,False
C-000080,PMT-0201,F-21,1.63,residential,analog,False
C-000081,PMT-0283,F-29,3.57,residential,analog,False
C-000082,PMT-0132,F-14,4.83,residential,analog,False
C-000083,PMT-0049,F-05,3.28,residential,analog,False
C-000084,PMT-0250,F-25,6.32,residential,electronic,True
C-000085,PMT-0189,F-19,11.36,commercial,electronic,False
C-000086,PMT-0211,F-22,6.8,residential,electronic,False
C-000087,PMT-0030,F-03,2.03,residential,analog,False
C-000088,PMT-0094,F-10,6.39,residential,electronic,False
C-000089,PMT-0231,F-24,8.67,commercial,analog,False
C-000090,PMT-0250,F-25,4.7,residential,analog,False
