feeder_id,month,injected_energy_kwh,feeder_uptime_pct,avg_temp_c
F-01,2022-01-01,104851.13,88.25,5.7
F-01,2022-02-01,124719.87,88.9,11.1
F-01,2022-03-01,151492.34,88.75,17.4
F-01,2022-04-01,177994.97,89.36,25.0
F-01,2022-05-01,196969.05,87.72,30.1
F-01,2022-06-01,202958.01,89.11,32.1
F-01,2022-07-01,197120.81,88.66,29.6
F-01,2022-08-01,179704.36000000002,89.17,25.4
F-01,2022-09-01,150127.81,88.5,17.9
F-01,2022-10-01,125151.24,88.76,10.9
F-01,2022-11-01,106298.53,89.01,5.8
F-01,2022-12-01,97625.03,87.35,4.0
F-01,2023-01-01,105129.42,86.68,5.9
F-01,2023-02-01,124220.1,88.49,10.6
F-01,2023-03-01,149649.73,89.59,18.0
F-01,2023-04-01,177938.88,88.75,24.9
F-01,2023-05-01,197765.82,89.62,30.2
F-01,2023-06-01,204943.24,88.47,32.1
F-01,2023-07-01,196841.54,90.29,30.0
F-01,2023-08-01,178513.18,87.8,25.0
F-01,2023-09-01,150951.33000000002,89.55,17.9
F-01,2023-10-01,123443.74,88.68,11.1
F-01,2023-11-01,104462.53,89.38,5.9
F-01,2023-12-01,97711.51,87.15,3.8
F-01,2024-01-01,104690.63,89.1,5.9
F-01,2024-02-01,124099.3,88.22,10.9
F-01,2024-03-01,152474.57,90.62,18.7
F-01,2024-04-01,178201.03,88.69,24.9
F-01,2024-05-01,195998.7,89.36,30.0
F-01,2024-06-01,201401.16,89.64,31.8
F-01,2024-07-01,195533.99,88.47,30.2
F-01,2024-08-01,176590.97,88.41,25.1
F-01,2024-09-01,150040.5,89.62,18.2
F-01,2024-10-01,123378.39,88.74,10.8
F-01,2024-11-01,103472.66,90.42,6.0
F-01,2024-12-01,97643.19,89.77,3.9
F-02,2022-01-01,93875.39,98.78,6.0
F-02,2022-02-01,109446.70999999999,97.98,10.8
F-02,2022-03-01,134971.49,98.14,17.9
F-02,2022-04-01,160090.36,98.94,25.2
F-02,2022-05-01,177546.44,99.48,30.4
F-02,2022-06-01,181646.82,98.88,32.2
F-02,2022-07-01,175749.09,99.27,29.6
F-02,2022-08-01,156416.54,99.91,25.3
F-02,2022-09-01,135752.03,99.23,18.4
F-02,2022-10-01,111802.19,97.31,10.9
F-02,2022-11-01,94191.98,98.13,5.6
F-02,2022-12-01,88012.53,99.28,4.0
F-02,2023-01-01,94166.65,97.85,5.5
F-02,2023-02-01,111039.78,98.28,10.8
F-02,2023-03-01,135614.52000000002,98.48,17.3
F-02,2023-04-01,159114.2,98.83,25.0
F-02,2023-05-01,176129.97,98.1,30.0
F-02,2023-06-01,183716.23,98.84,32.0
F-02,2023-07-01,176612.78,99.95,29.9
F-02,2023-08-01,159442.04,98.65,25.1
F-02,2023-09-01,134444.07,98.62,17.8
F-02,2023-10-01,111693.78,98.02,11.5
F-02,2023-11-01,93213.96,98.86,6.2
F-02,2023-12-01,87928.07,99.16,3.5
F-02,2024-01-01,94511.43,99.32,6.2
F-02,2024-02-01,111837.43,98.91,11.1
F-02,2024-03-01,136442.85,98.69,17.9
F-02,2024-04-01,159568.02000000002,99.8,25.0
F-02,2024-05-01,175608.74,98.7,30.3
F-02,2024-06-01,181455.55,99.53,32.3
F-02,2024-07-01,175516.66,98.24,30.0
F-02,2024-08-01,158320.08000000002,97.82,25.0
F-02,2024-09-01,135027.15,99.1,18.1
F-02,2024-10-01,112096.66,97.98,11.2
F-02,2024-11-01,94969.87,98.45,6.1
F-02,2024-12-01,87820.86,98.54,4.2
F-03,2022-01-01,104639.55,96.71,6.0
F-03,2022-02-01,123053.06,96.17,10.4
F-03,2022-03-01,151020.78,97.34,18.0
F-03,2022-04-01,175998.32,96.44,24.9
F-03,2022-05-01,198960.99,97.68,29.2
F-03,2022-06-01,203103.47,96.8,30.9
F-03,2022-07-01,195230.52000000002,96.05,29.8
F-03,2022-08-01,178845.48,96.67,24.6
F-03,2022-09-01,150749.03,96.36,18.2
F-03,2022-10-01,124505.9,95.8,10.8
F-03,2022-11-01,105495.91,95.76,6.0
F-03,2022-12-01,97439.44,96.3,4.2
F-03,2023-01-01,106595.92,96.86,5.5
F-03,2023-02-01,124786.98999999999,96.73,10.6
F-03,2023-03-01,150029.37,95.9,17.9
F-03,2023-04-01,175823.81,97.2,24.7
F-03,2023-05-01,196277.8,96.59,30.2
F-03,2023-06-01,204412.83000000002,94.69,32.0
F-03,2023-07-01,198438.24,97.58,29.4
F-03,2023-08-01,176159.9,96.76,24.9
F-03,2023-09-01,152072.31,96.35,17.7
F-03,2023-10-01,125317.17,94.6,11.3
F-03,2023-11-01,104511.55,97.12,5.7
F-03,2023-12-01,98365.45999999999,96.65,3.7
F-03,2024-01-01,104716.82,96.44,5.5
F-03,2024-02-01,123375.93,96.78,11.1
F-03,2024-03-01,152627.79,96.35,18.2
F-03,2024-04-01,179479.33000000002,96.44,25.3
F-03,2024-05-01,197152.9,96.95,30.3
F-03,2024-06-01,202946.82,97.0,32.4
F-03,2024-07-01,196717.78,97.39,30.3
F-03,2024-08-01,178185.57,97.34,24.4
F-03,2024-09-01,151920.16,96.69,18.2
F-03,2024-10-01,124773.07,96.33,10.6
F-03,2024-11-01,105148.47,96.08,6.6
F-03,2024-12-01,97929.64,96.43,4.4
F-04,2022-01-01,108085.02,87.55,6.0
F-04,2022-02-01,130164.15,90.58,11.1
F-04,2022-03-01,155631.66,89.51,18.4
F-04,2022-04-01,182911.5,89.88,24.8
F-04,2022-05-01,207637.58,90.09,30.2
F-04,2022-06-01,211480.83,89.52,32.2
F-04,2022-07-01,205239.56,89.45,30.1
F-04,2022-08-01,183930.68,90.52,24.7
F-04,2022-09-01,157832.47,89.59,18.5
F-04,2022-10-01,129134.19,87.71,10.6
F-04,2022-11-01,109711.97,90.23,5.9
F-04,2022-12-01,101839.9,89.16,4.5
F-04,2023-01-01,109144.95,89.51,6.4
F-04,2023-02-01,128547.33,89.94,11.2
F-04,2023-03-01,155718.33000000002,89.89,17.8
F-04,2023-04-01,182977.64,88.61,24.8
F-04,2023-05-01,203851.26,91.38,29.8
F-04,2023-06-01,210586.81,90.1,33.0
F-04,2023-07-01,200537.96,91.74,30.5
F-04,2023-08-01,184578.55000000002,88.56,24.8
F-04,2023-09-01,156033.51,88.04,18.3
F-04,2023-10-01,127888.9,90.56,10.9
F-04,2023-11-01,109227.16,88.8,5.7
F-04,2023-12-01,101694.69,88.81,4.4
F-04,2024-01-01,110526.6,90.25,5.4
F-04,2024-02-01,130611.67000000001,87.89,10.2
F-04,2024-03-01,155848.71,91.14,17.5
F-04,2024-04-01,180872.2,90.37,24.3
F-04,2024-05-01,205365.28,90.35,29.4
F-04,2024-06-01,211554.6,89.15,32.0
F-04,2024-07-01,200879.57,89.8,30.3
F-04,2024-08-01,182920.61,88.42,25.0
F-04,2024-09-01,156273.35,90.34,18.4
F-04,2024-10-01,127461.33,90.02,11.2
F-04,2024-11-01,108441.73,89.28,6.5
F-04,2024-12-01,100235.57,88.34,3.9
F-05,2022-01-01,117773.25,93.26,5.7
F-05,2022-02-01,137879.19,93.57,10.9
F-05,2022-03-01,168253.54,94.33,17.8
F-05,2022-04-01,195788.72,93.35,24.6
F-05,2022-05-01,217357.43,94.29,31.0
F-05,2022-06-01,224442.16999999998,95.02,32.1
F-05,2022-07-01,217694.73,93.83,30.6
F-05,2022-08-01,194381.01,94.05,25.1
F-05,2022-09-01,167399.76,93.13,18.5
F-05,2022-10-01,137444.0,92.49,10.6
F-05,2022-11-01,114904.05,97.81,6.1
F-05,2022-12-01,108196.98999999999,92.32,4.0
F-05,2023-01-01,115937.81,93.33,5.8
