consumer_id,month,billed_units_kwh,arrears_pkr,reader_id,is_theft_ground_truth,theft_type
C-000001,2022-01-01,444.81,629.85,R-020,False,none
C-000002,2022-01-01,176.87,1723.97,R-077,False,none
C-000003,2022-01-01,266.26,1210.61,R-158,False,none
C-000004,2022-01-01,59.1,1632.96,R-093,False,none
C-000005,2022-01-01,159.33,48.83,R-038,False,none
C-000006,2022-01-01,1648.84,1358.55,R-217,True,fixed_shunt
C-000007,2022-01-01,216.79,1509.23,R-044,False,none
C-000008,2022-01-01,307.97,2419.26,R-019,False,none
C-000009,2022-01-01,119.56,1666.32,R-084,False,none
C-000010,2022-01-01,131.12,385.08,R-025,False,none
C-000011,2022-01-01,222.58,904.85,R-131,False,none
C-000012,2022-01-01,708.55,2726.09,R-096,False,none
C-000013,2022-01-01,41.97,445.75,R-204,False,none
C-000014,2022-01-01,187.89,226.14,R-038,False,none
C-000015,2022-01-01,47.01,974.85,R-060,False,none
C-000016,2022-01-01,28.66,63.63,R-151,False,none
C-000017,2022-01-01,243.05,2251.41,R-154,False,none
C-000018,2022-01-01,290.48,927.15,R-080,False,none
C-000019,2022-01-01,427.45,334.21,R-203,False,none
C-000020,2022-01-01,14.16,66.37,R-187,False,none
C-000021,2022-01-01,113.43,618.41,R-135,False,none
C-000022,2022-01-01,207.65,1940.18,R-165,False,none
C-000023,2022-01-01,3646.14,761.1,R-118,False,none
C-000024,2022-01-01,1363.19,93.39,R-104,True,nighttime_ac
C-000025,2022-01-01,96.31,165.82,R-121,False,none
C-000026,2022-01-01,100.74,2038.25,R-186,False,none
C-000027,2022-01-01,145.59,148.89,R-004,False,none
C-000028,2022-01-01,103.22,337.44,R-023,True,fixed_shunt
C-000029,2022-01-01,317.2,2735.66,R-105,False,none
C-000030,2022-01-01,132.68,657.9,R-128,False,none
C-000031,2022-01-01,95.54,265.74,R-040,False,none
C-000032,2022-01-01,2376.58,2207.88,R-134,False,none
C-000033,2022-01-01,314.56,865.88,R-006,False,none
