pmt_id,feeder_id,month,injected_energy_kwh,pmt_uptime_pct,avg_temp_c
PMT-0001,F-01,2022-01-01,12316.53,89.43,4.3
PMT-0001,F-01,2022-02-01,14729.63,88.26,13.3
PMT-0001,F-01,2022-03-01,18372.39,89.82,16.0
PMT-0001,F-01,2022-04-01,21447.12,85.34,24.1
PMT-0001,F-01,2022-05-01,23730.85,88.75,27.8
PMT-0001,F-01,2022-06-01,25317.34,87.95,32.5
PMT-0001,F-01,2022-07-01,24561.75,85.46,29.8
PMT-0001,F-01,2022-08-01,21757.25,92.59,23.9
PMT-0001,F-01,2022-09-01,17968.08,89.15,15.9
PMT-0001,F-01,2022-10-01,15028.44,91.81,12.2
PMT-0001,F-01,2022-11-01,12710.9,87.93,5.4
PMT-0001,F-01,2022-12-01,11849.66,90.67,1.6
PMT-0001,F-01,2023-01-01,12796.76,82.66,5.2
PMT-0001,F-01,2023-02-01,14997.16,91.63,11.3
PMT-0001,F-01,2023-03-01,18689.48,91.18,20.1
PMT-0001,F-01,2023-04-01,21593.34,83.92,25.3
PMT-0001,F-01,2023-05-01,24294.77,91.5,29.4
PMT-0001,F-01,2023-06-01,25677.09,89.45,29.3
PMT-0001,F-01,2023-07-01,23568.86,89.72,29.5
PMT-0001,F-01,2023-08-01,21752.48,87.57,24.8
PMT-0001,F-01,2023-09-01,18312.35,85.18,16.9
PMT-0001,F-01,2023-10-01,15384.17,80.8,10.4
PMT-0001,F-01,2023-11-01,12855.77,84.82,6.2
PMT-0001,F-01,2023-12-01,11705.2,87.22,2.7
PMT-0001,F-01,2024-01-01,12683.16,90.03,7.0
PMT-0001,F-01,2024-02-01,15048.12,82.61,11.0
PMT-0001,F-01,2024-03-01,18028.55,84.73,19.5
PMT-0001,F-01,2024-04-01,21784.3,85.33,25.5
PMT-0001,F-01,2024-05-01,23822.36,88.74,28.9
PMT-0001,F-01,2024-06-01,24765.59,91.22,32.5
PMT-0001,F-01,2024-07-01,23507.31,90.04,29.1
PMT-0001,F-01,2024-08-01,21593.74,93.29,25.9
PMT-0001,F-01,2024-09-01,18274.09,90.79,17.2
PMT-0001,F-01,2024-10-01,14831.97,87.37,11.1
PMT-0001,F-01,2024-11-01,12750.45,88.26,5.5
PMT-0001,F-01,2024-12-01,11706.83,90.77,5.1
PMT-0002,F-01,2022-01-01,13816.24,91.84,5.5
PMT-0002,F-01,2022-02-01,15979.03,93.45,10.2
PMT-0002,F-01,2022-03-01,19037.12,87.07,19.3
PMT-0002,F-01,2022-04-01,22988.97,89.93,26.3
PMT-0002,F-01,2022-05-01,24781.36,90.41,30.3
PMT-0002,F-01,2022-06-01,26547.03,93.46,34.5
PMT-0002,F-01,2022-07-01,24779.04,95.86,28.7
PMT-0002,F-01,2022-08-01,22490.1,84.41,26.2
PMT-0002,F-01,2022-09-01,18990.72,88.56,17.9
PMT-0002,F-01,2022-10-01,15887.78,90.19,10.2
PMT-0002,F-01,2022-11-01,13387.5,93.58,6.5
PMT-0002,F-01,2022-12-01,12574.61,89.5,6.1
